Left Eye,Right Eye,Nose,Left Mouth,Right Mouth
1.414214,2.236068,1.414214,1.414214,1
1.414214,1.414214,1,1.414214,0
1,1.414214,1,0,2
1.414214,1,1,1,2
1.414214,1,0,1.414214,1
1.414214,1,1,0,1
0,1,1,1,1
1,0,3.162278,0,1.414214
0,1.414214,1,2.236068,1
1,1.414214,1.414214,1,0
1.414214,0,1.414214,1,2
1,2,1.414214,1,2
1,1.414214,2.236068,2,2.236068
1.414214,1.414214,1.414214,2,1.414214
1.414214,1.414214,1,2,2
1.414214,1,1,1,1
1,1,1.414214,1,1
1,1,1.414214,2.236068,1.414214
1.414214,1,1.414214,1.414214,1.414214
1.414214,0,1,0,0
0,0,0,3.162278,2
1,1,2.236068,1,1
1.414214,1.414214,3,1,2
1.414214,1.414214,1,1.414214,1
1.414214,2.236068,2,0,1.414214
1,0,1.414214,0,2.236068
1.414214,1,1,0,0
1,4.242641,1,2.236068,2.236068
1.414214,0,1,1,1
2.236068,8.062258,4.123106,3.605551,5.385165
1.414214,1,1,1,0
1.414214,0,2.828427,1,1
1,0,1,2,2.236068
1.414214,1,1.414214,1,1
1.414214,1.414214,5,1.414214,1.414214
1.414214,1.414214,1,0,2
1.414214,2,2,1.414214,4.123106
1.414214,1.414214,2,2.236068,1.414214
1.414214,1.414214,1,0,1.414214
1.414214,1.414214,2.236068,1.414214,1
1.414214,5.385165,5.656854,2.236068,6
1.414214,3.162278,0,0,1.414214
1.414214,1.414214,1,2,2.236068
1,0,2.828427,1,3.162278
1.414214,0,1.414214,1,1
1.414214,1,1.414214,1.414214,3.162278
1.414214,2,0,3.162278,2.828427
1,1,1,1,2
1.414214,1,0,0,1
1,1,0,1.414214,0
1.414214,3.605551,2.236068,3.162278,5.830952
1.414214,0,1.414214,1.414214,1
1,1,1,1,1
1.414214,1.414214,1.414214,1,1
1.414214,1,1,1.414214,1
1,1,1,1,1
1.414214,1.414214,2.236068,2,2
1.414214,1.414214,2,1.414214,0
1.414214,2,1,2,1
1.414214,1.414214,0,1,2.236068
1.414214,0,1,0,0
1,2.828427,1.414214,3.162278,2
1,3.605551,2.236068,2,1
1.414214,1,1.414214,1,1
1,1.414214,1.414214,1.414214,0
1.414214,1,2,0,1
1,0,1,0,1
1,2.236068,2.828427,1,1
1.414214,1,2.236068,2.236068,1
1.414214,1,1.414214,1,1
1.414214,1,1.414214,0,1
1.414214,1,1.414214,1.414214,1.414214
1.414214,0,0,0,1.414214
1.414214,1.414214,1,1,0
0,0,1,1,1
1.414214,1.414214,1,1,1
1.414214,1.414214,2.236068,1,1
1.414214,1.414214,1,1,1
1,1.414214,1.414214,2.236068,2.236068
1.414214,3,5.385165,6,5.385165
1.414214,1,2,1.414214,1.414214
1,1.414214,2,1.414214,1
1.414214,0,2,1,1
1.414214,1,3,3.162278,0
1,1.414214,1,2.236068,3.162278
1,1,3.162278,2,1.414214
1.414214,1.414214,2.236068,1.414214,1
1.414214,1,1.414214,1.414214,1
1.414214,1,1,1,1
0,1.414214,3.605551,1,2.236068
1.414214,1,0,1.414214,1
1,1.414214,0,1.414214,1
1,5.09902,5,6.082763,2.236068
1,1,1.414214,2.236068,1
1.414214,2,1,1.414214,1
1.414214,1.414214,0,1.414214,1
1,1.414214,1.414214,2.236068,3
1.414214,1,1,1,1
1.414214,1,2.828427,1.414214,0
1.414214,0,1,2.236068,1.414214
1,1,1.414214,1,2.236068
1.414214,1.414214,1,1.414214,1
1.414214,1.414214,0,1.414214,1
1.414214,2,2.236068,0,2
1.414214,0,1.414214,2.236068,2
1.414214,0,4.472136,1,1
1,1,9.219544,2,2.236068
1.414214,1,1,1,1
1.414214,1,2.236068,2,1.414214
1.414214,1,1.414214,1,1
1.414214,1.414214,1,1,2
1.414214,5.09902,1.414214,1,4.123106
1,2.236068,1,1.414214,1.414214
1.414214,0,1.414214,1,1
1.414214,1,2.236068,0,1.414214
2,1.414214,2,3.162278,2
1,1,3,0,1
1.414214,0,1.414214,2.236068,1
1.414214,1,2,1.414214,1
1.414214,0,1.414214,0,1
1.414214,1,1.414214,0,1
1.414214,1,2,1,1
1.414214,0,2,1.414214,1.414214
1.414214,1.414214,2.236068,1,1
1,1.414214,1.414214,1,1
1,1,1.414214,1,0
1.414214,0,1.414214,1,1.414214
0,0,1,2.236068,2
0,1,1.414214,1,1
1,0,1,3.162278,1.414214
1.414214,1,1,1.414214,1.414214
1.414214,0,1,2,0
1,1,0,0,0
1.414214,0,1,1,1
1.414214,1,1,2,1
